,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50,ClusterGMM
61,Falkland Islands (Malvinas),12173.0,3,0.2,12803.86667,1.82,12520.58667,7.773333332999999,27.90666667,64.31333333,17.75333333,14.24,68.00666667,1.2,96.0,105.0,4.0,17.0,0.3,76.2,1.0,16.4,15.7,5.833333333,1.72,5.006666667,85.84666667,78.88666667,8.429333332999999,75.28,70.26666667,102.3133333,104.5666667,80.84666667,77.40666667,31.10666667,21.71333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,2
63,Fiji,18272.0,906,49.6,4391.0,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,88.0,88.0,926.0,2316.0,0.7,53.7,1.5,28.5,9.9,4.5,1.146666667,3.9,93.4,88.4,2.46,72.9,66.9,105.1,106.0,93.4,84.3,26.20666667,20.20666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,18,2
67,Gabon,267668.0,2025,7.9,13735.0,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,97.0,92.0,2851.0,2930.0,3.3,87.2,2.7,35.9,6.4,3.4,1.326666667,2.7,43.4,31.5,0.73,65.8,63.1,139.9,144.0,66.82666667,68.12666667,26.36666667,23.00666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,335,2
77,Guatemala,108889.0,16914,157.8,63794.0,4.1,3903.5,10.8,27.2,62.0,32.0,18.5,49.4,2.4,158.0,158.0,10572.0,16987.0,2.1,51.6,3.4,35.1,6.9,6.2,2.833333333,3.0,77.5,49.3,0.66,75.6,69.2,99.8,103.8,63.3,67.9,23.5,20.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,80,688,2
80,Guyana,214969.0,778,4.0,3282.0,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,11.3,142.0,143.0,1453.0,1625.0,0.6,28.6,0.8,29.0,8.6,5.2,1.84,3.2,87.9,82.0,0.97,68.6,64.0,83.9,86.9,89.0,89.7,16.8,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,82,2
82,Honduras,112492.0,9265,82.8,20365.0,3.6,2521.9,13.0,25.1,61.9,29.4,21.6,49.0,5.6,122.0,119.0,3657.0,8448.0,1.8,54.7,3.1,31.6,7.0,8.7,2.693333333,5.9,86.7,77.7,2.86,75.4,70.4,110.1,111.3,77.0,64.8,25.4,18.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,343,1055,2
85,India,3287263.0,1339180,450.4,2116239.0,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,143.0,142.0,260327.0,356705.0,1.2,32.7,2.4,27.8,9.4,4.7,0.7,3.8,62.6,28.5,0.16,69.1,66.2,115.1,102.8,74.5,73.5,26.7,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,649,17265,2
86,Indonesia,1910931.0,263991,145.7,861934.0,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,139.0,140.0,144490.0,135653.0,1.2,53.7,2.7,27.4,8.6,2.8,0.2,3.6,72.3,47.5,0.0,70.7,66.6,104.4,107.2,86.0,85.7,25.7,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,1986,9511,2
87,Iran (Islamic Republic of),1628750.0,81163,49.8,398563.0,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,106.0,107.0,45627.0,35333.0,1.2,73.4,2.1,23.7,8.8,7.5,1.5,2.9,92.8,82.3,0.02,76.2,74.0,111.7,106.3,88.9,89.4,67.7,75.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,27017,82211,2
88,Iraq,435052.0,38275,88.1,164234.0,-2.4,4509.0,4.6,58.0,37.4,20.4,21.0,58.6,16.1,123.0,123.0,27341.0,45831.0,3.2,69.5,3.0,40.4,5.0,5.5,0.9,4.8,86.4,83.8,0.88,71.4,67.0,101.5066667,104.8466667,78.64666667,80.74666667,36.54666667,31.93333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,346,1539,2
