,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male)
29,British Virgin Islands,Caribbean,151,31,208,908,-1.1,30144.5,1,11.1,87.8,3.993333333,18.12,75.65333333,10.41333333,103,103,0,444,2,46.2,1.8,22.67333333,18.5,6.613333333,1.766666667,6.6,97.5,97.5,7.865333333,79.29333333,73.68666667,102.06,105.82,98.76666667,96.46,54.03333333,34.76666667
30,Brunei Darussalam,South-easternAsia,5765,429,81.3,12930,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157,157,4875,2679,1.4,77.2,1.8,23,8,2.6,1.5,4.4,93.42,91.03333333,3.289333333,78.4,75.1,108.2,108.1,96.3,95.9,38.6,23.5
31,Bulgaria,EasternEurope,111002,7085,65.3,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117,119,26088,28875,-0.6,73.9,-0.3,14.2,27.7,8.4,4,4.1,86.8,83.7,7.28,77.8,70.8,96.7,97.7,97.4,100.5,82.9,65.4
32,Burkina Faso,WesternAfrica,272967,19193,70.2,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,131,134,2019,3699,3,29.9,5.9,45.2,3.9,5,0,4.1,50.4,6.7,9.11,59.3,58,86.1,89.9,32.2,35.1,3.8,7.3
33,Burundi,EasternAfrica,27830,10864,423.1,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,109,122,123,625,3,12.1,5.7,45,4.4,7.5,1.106666667,5.4,43.8,48.6,11.91,58,54.2,124.5,123.1,40.5,44.5,2.4,7.7
34,Cabo Verde,WesternAfrica,4033,546,135.6,1603,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,98,98,29,485,1.2,65.5,2,30.2,6.9,4.8,0.3,5,81.6,54.3,9.81,74,70.1,106.9,112.8,98.3,87.7,25.2,18.1
35,Cambodia,South-easternAsia,181035,16005,90.7,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,175,177,13204,15313,1.6,20.7,2.6,31.3,7.1,5.7,0.2,1.9,88.1,30.5,3.97,69.6,65.5,116.2,117.1,74.28,74.26,11.8,14.3
36,Cameroon,MiddleAfrica,475650,24054,50.9,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,2.7,54.4,3.6,42.7,4.8,4.1,1.106666667,3,61.8,26.8,2.31,57.7,55.1,110.7,123.5,53.5,62.6,15.2,19.7
37,Canada,NorthernAmerica,9984670,36624,4,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109,109,388911,402954,1,81.8,1.2,16,23.5,10.4,2.5,5.3,100,99,2.022666667,83.8,79.7,101.1,100.1,110,109.8,51.12666667,42.19333333
38,Cayman Islands,Caribbean,264,62,256.5,3726,0.7,62132,0.3,7.5,92.2,0.8,15.5,83.6,6.3,104,104,18,991,1.5,100,1.5,18.3,6.7,6.446666667,1.84,4.386666667,95.6,91.12,4.027333333,81.40666667,75.84,102.4066667,105.98,98.82666667,96.33333333,47.27333333,29.74
39,Central African Republic,MiddleAfrica,622984,4659,7.5,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114,113,213,147,0.4,40,2.6,43.2,5.5,4.2,1,1.2,43.6,7.2,32.25,51,47.8,79.8,107.3,11.8,23,1.5,4.1
40,Chad,MiddleAfrica,1284000,14900,11.8,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,5.8,146,151,1990,1371,3.3,22.5,3.4,47.1,4,3.6,0,2.8,31.4,6.5,5.74,52.8,50.5,88,114.6,14,30.7,1.1,5.7
