,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
37,Canada,9984670.0,36624,4.0,1552808.0,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109.0,109.0,388911.0,402954.0,1.0,81.8,1.2,16.0,23.5,10.4,2.5,5.3,100.0,99.0,2.0226666669999998,83.8,79.7,101.1,100.1,110.0,109.8,51.12666667,42.19333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Chile,756102.0,18055,24.3,240796.0,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111.0,111.0,59884.0,58804.0,0.9,89.5,1.1,20.3,16.0,7.8,0.7,4.9,100.0,90.9,0.02,81.3,76.2,100.0,103.3,101.3,100.0,94.4,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,China,9600000.0,1409517,150.1,11158457.0,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,132.0,133.0,2118981.0,1588696.0,0.5,55.6,3.0,17.7,16.2,5.5,1.5,4.7,86.6,63.7,0.0,77.2,74.2,104.3,104.0,95.6,93.2,47.3,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,Colombia,1141748.0,49066,44.2,292080.0,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,114.0,115.0,31045.0,44831.0,1.0,76.4,1.7,23.5,11.6,7.2,1.046666667,4.5,85.2,67.9,0.47,77.4,70.2,111.6,115.4,101.5,94.8,59.9,51.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Czechia,78868.0,10618,137.5,185156.0,4.5,17561.7,2.5,37.8,59.7,2.5,37.0,60.5,3.9,102.0,102.0,161248.0,140316.0,0.1,73.0,0.3,15.4,25.6,7.4,3.7,4.1,99.1,99.2,1.2046666670000001,81.2,75.1,99.9,99.6,106.1,105.1,76.3,54.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,Democratic People's Republic of Korea,120538.0,25491,211.7,16283.0,-1.1,648.0,21.6,46.2,32.2,58.9,19.3,21.8,4.3,104.0,103.0,1010.0,2757.0,0.5,60.9,0.7,20.6,13.5,7.666666667,2.8,4.233333333,87.9,72.5,8.932666667000001,74.1,67.2,76.9,76.7,93.9,92.9,19.8,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,Democratic Republic of the Congo,2344858.0,81340,35.9,37569.0,7.0,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,104.0,104.0,5103.0,5906.0,3.3,42.5,4.0,46.3,4.7,4.3,1.6533333330000002,2.2,28.5,28.7,8.01,59.5,56.7,101.8,112.0,33.3,53.6,4.2,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ecuador,257217.0,16625,66.9,100177.0,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118.0,119.0,16798.0,16189.0,1.6,63.7,1.9,28.4,10.5,9.2,1.7,5.0,87.0,80.7,0.31,78.4,72.8,107.9,107.4,109.2,105.3,45.3,34.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Egypt,1002000.0,97553,98.0,315917.0,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120.0,122.0,22507.0,58053.0,2.2,43.1,1.7,33.5,7.9,5.6,0.8,4.606666667,96.8,93.1,0.78,73.0,68.7,103.8,104.1,85.9,86.3,35.6,36.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Ethiopia,1104300.0,104957,105.0,59917.0,9.6,602.8,40.5,16.0,43.5,70.5,8.4,21.1,5.7,158.0,157.0,1724.0,19121.0,2.6,19.5,4.9,40.6,5.3,4.9,0.953333333,4.5,27.2,28.2,5.28,65.5,61.9,97.2,106.9,34.4,35.9,5.3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,Finland,338440.0,5523,18.2,231960.0,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,101.0,101.0,57326.0,60502.0,0.4,84.2,0.5,16.4,27.8,9.7,3.0,7.2,99.4,88.0,2.2713333330000003,83.7,77.7,101.4,101.7,156.3,142.8,95.6,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,France,551500.0,64980,118.7,2418946.0,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,103.0,103.0,488885.0,560555.0,0.4,79.5,0.8,18.1,25.7,11.5,3.2,5.5,98.6,98.9,0.47066666700000004,85.0,78.8,105.0,105.7,111.2,110.1,71.0,57.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,French Guiana,83534.0,283,3.4,121364.2667,2.746666667,20421.14,7.146666667000001,30.78666667,62.08,15.54,14.9,58.3,21.3,120.0,120.0,57735.733329999995,56120.333329999994,2.8,84.4,2.8,33.2,8.4,7.913333333,3.353333333,4.26,94.9,75.8,7.396666667000001,82.6,76.1,105.32666670000002,105.81333329999998,100.5933333,99.88666667,65.30666667,49.63333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
