,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,clusters
14,Bahamas,13940.0,395,39.5,8854.0,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132.0,132.0,365.0,2904.0,1.4,82.9,1.5,20.5,13.5,7.7,1.553333333,5.506666667,92.0,92.0,2.862666667,78.1,72.0,101.2333333,104.42,98.66,95.46,42.36,25.37333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bahrain,771.0,1493,1963.9,31126.0,2.9,22600.2,0.3,40.7,59.0,1.0,33.4,65.6,1.3,167.0,167.0,12892.0,14749.0,2.0,88.8,1.7,19.7,4.6,5.0,0.9,2.7,99.2,99.2,2.898666667,77.5,75.6,101.8,100.6,101.9,102.4,59.4,30.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Bangladesh,147570.0,164670,1265.0,194466.0,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4.0,141.0,140.0,36031.0,52624.0,1.2,34.3,3.6,28.4,7.3,2.8,0.4,1.9,57.7,62.1,1.24,72.9,69.8,125.1,116.0,67.4,59.8,11.4,15.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Barbados,431.0,286,664.5,4385.0,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88.0,88.0,517.0,1621.0,0.3,31.5,0.1,19.1,21.0,7.5,1.553333333,6.6,96.2,96.2,6.417333332999999,77.7,72.9,94.2,93.1,110.7,107.9,90.6,40.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Belarus,207600.0,9468,46.7,54609.0,-3.9,5750.8,7.5,38.9,53.6,9.6,32.0,58.4,0.5,122.0,122.0,23414.0,27464.0,0.0,76.7,0.0,16.7,21.3,5.7,4.1,4.9,94.1,95.2,0.2,77.7,66.5,101.3,101.4,106.4,107.8,100.7,75.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Belgium,30528.0,11429,377.5,455107.0,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108.0,107.0,398033.0,372713.0,0.6,97.9,0.5,17.1,24.6,10.6,3.0,6.6,99.5,99.4,0.639333333,83.0,78.0,104.2,104.2,177.7,156.4,85.4,65.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Belize,22966.0,375,16.4,1721.0,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97.0,97.0,246.0,952.0,2.2,44.0,1.9,31.4,6.2,5.8,1.146666667,6.4,93.5,88.2,1.68,72.7,67.2,110.4,115.8,81.8,79.8,28.7,17.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,Benin,114763.0,11176,99.1,8476.0,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1.0,152.0,158.0,410.0,2630.0,2.8,44.0,3.7,42.7,5.0,4.6,0.1,4.4,35.6,7.3,5.09,61.4,58.5,123.7,134.2,46.8,66.7,8.4,22.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Bermuda,53.0,61,1227.0,5853.0,0.4,94399.9,0.7,5.3,94.0,1.6,10.3,87.6,6.7,115.0,115.0,8.0,971.0,-0.6,100.0,0.2,14.8,24.9,6.613333333,2.386666667,1.7,93.96,91.76666667,4.498666667,85.1,77.5,89.4,91.3,75.5,67.7,34.1,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Bhutan,38394.0,808,21.2,2074.0,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98.0,98.0,616.0,1688.0,1.6,38.6,3.7,26.5,7.3,3.6,0.3,7.4,77.9,33.1,5.26,68.9,68.6,96.9,96.6,87.1,81.4,9.2,12.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
