,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,ClusterGMM
39,Central African Republic,622984.0,4659,7.5,1633.0,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114.0,113.0,213.0,147.0,0.4,40.0,2.6,43.2,5.5,4.2,1.0,1.2,43.6,7.2,32.25,51.0,47.8,79.8,107.3,11.8,23.0,1.5,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Chad,1284000.0,14900,11.8,10009.0,6.6,713.0,25.4,39.0,35.6,76.6,2.0,21.4,5.8,146.0,151.0,1990.0,1371.0,3.3,22.5,3.4,47.1,4.0,3.6,0.0,2.8,31.4,6.5,5.74,52.8,50.5,88.0,114.6,14.0,30.7,1.1,5.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,Comoros,2235.0,814,437.4,1079.0,4.8,1368.9,30.7,4.0,65.3,62.0,5.2,32.8,20.0,107.0,107.0,20.0,193.0,2.4,28.3,2.7,39.8,4.9,6.7,1.3866666669999999,4.3,48.3,30.9,12.05,64.5,61.2,99.5,106.8,62.4,58.4,8.0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
48,Congo,342000.0,5261,15.4,8493.0,1.2,1838.1,4.7,70.0,25.3,40.7,25.8,33.5,11.5,106.0,106.0,2540.0,9793.0,2.6,65.4,3.2,42.3,5.2,5.2,1.506666667,4.606666667,20.0,5.6,1.05,64.1,61.0,114.8,107.0,50.6,58.4,8.3,11.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,Democratic Republic of the Congo,2344858.0,81340,35.9,37569.0,7.0,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,104.0,104.0,5103.0,5906.0,3.3,42.5,4.0,46.3,4.7,4.3,1.6533333330000002,2.2,28.5,28.7,8.01,59.5,56.7,101.8,112.0,33.3,53.6,4.2,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,Djibouti,23200.0,957,41.3,1737.0,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,133.0,133.0,134.0,987.0,1.7,77.3,1.6,31.1,6.4,10.6,0.2,5.086666667,59.8,5.1,6.766,63.2,60.0,60.9,68.6,43.5,52.9,4.0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
65,Eritrea,117600.0,5069,50.2,4783.0,4.8,914.9,17.2,23.5,59.3,57.0,7.6,35.4,7.3,109.0,109.0,16.0,3325.0,2.0,22.6,5.1,41.8,5.3,3.3,2.313333333,4.52,44.6,7.3,9.256,65.6,61.4,45.9,53.2,28.1,32.9,1.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,Ethiopia,1104300.0,104957,105.0,59917.0,9.6,602.8,40.5,16.0,43.5,70.5,8.4,21.1,5.7,158.0,157.0,1724.0,19121.0,2.6,19.5,4.9,40.6,5.3,4.9,0.953333333,4.5,27.2,28.2,5.28,65.5,61.9,97.2,106.9,34.4,35.9,5.3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75,Gabon,267668.0,2025,7.9,13735.0,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,97.0,92.0,2851.0,2930.0,3.3,87.2,2.7,35.9,6.4,3.4,1.326666667,2.7,43.4,31.5,0.73,65.8,63.1,139.9,144.0,66.82666667,68.12666667,26.36666667,23.00666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,Gambia,11295.0,2101,207.6,942.0,4.7,473.2,21.1,14.9,64.0,30.4,14.4,55.2,29.7,82.0,82.0,32.0,471.0,3.1,59.6,4.3,45.3,3.8,7.3,1.24,2.8,61.5,55.0,12.35,61.6,59.1,96.8,90.1,81.14,77.44,2.5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
79,Ghana,238537.0,28834,126.7,37156.0,3.9,1355.6,19.0,26.9,54.1,41.9,14.2,43.8,5.9,144.0,144.0,7221.0,11939.0,2.4,54.0,3.4,38.5,5.3,3.6,1.686666667,6.2,20.2,8.6,4.81,62.6,60.7,108.7,107.3,61.1,63.1,13.2,19.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
87,Guinea-Bissau,36125.0,1861,66.2,978.0,4.8,530.0,45.0,14.5,40.5,60.1,5.8,34.1,6.5,137.0,138.0,885.0,212.0,2.6,49.3,4.1,41.5,4.9,5.6,1.6,2.2,33.5,8.5,9.03,57.7,54.3,107.09333329999998,109.62666670000002,71.69333333,70.48666667,23.44,19.72666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
