,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14 / 60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
17,Barbados,Caribbean,431,286,664.5,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88,88,517,1621,0.3,31.5,0.1,19.1/21.0,7.5,...,6.6,96.2/96.2,...,77.7,72.9,94.2,93.1,110.7,107.9,90.6,40.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Belarus,EasternEurope,207600,9468,46.7,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,122,122,23414,27464,~0.0,76.7,~0.0,16.7/21.3,5.7,4.1,4.9,94.1/95.2,0.2,77.7,66.5,101.3,101.4,106.4,107.8,100.7,75.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,Belgium,WesternEurope,30528,11429,377.5,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108,107,398033,372713,0.6,97.9,0.5,17.1/24.6,10.6,3,6.6,99.5/99.4,-99,83.0,78.0,104.2,104.2,177.7,156.4,85.4,65.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Belize,CentralAmerica,22966,375,16.4,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97,97,246,952,2.2,44.0,1.9,31.4/6.2,5.8,...,6.4,93.5/88.2,1.68,72.7,67.2,110.4,115.8,81.8,79.8,28.7,17.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Benin,WesternAfrica,114763,11176,99.1,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,152,158,410,2630,2.8,44.0,3.7,42.7/5.0,4.6,0.1,4.4,35.6/7.3,5.09,61.4,58.5,123.7,134.2,46.8,66.7,8.4,22.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Bermuda,NorthernAmerica,53,61,1227.0,5853,0.4,94399.9,0.7,5.3,94.0,1.6,10.3,87.6,6.7,115,115,8,971,-0.6,100.0,0.2,14.8/24.9,-99.0,-99,1.7,-99,-99,85.1,77.5,89.4,91.3,75.5,67.7,34.1,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Bhutan,SouthernAsia,38394,808,21.2,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98,98,616,1688,1.6,38.6,3.7,26.5/7.3,3.6,0.3,7.4,77.9/33.1,5.26,68.9,68.6,96.9,96.6,87.1,81.4,9.2,12.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,32998,4.8,3076.8,12.6,31.0,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,1.6,68.5,2.3,31.6/9.5,6.3,0.5,7.3,60.8/27.5,2.38,70.2,65.3,95.7,98.5,85.7,87.1,...,...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Bonaire, Sint Eustatius and Saba",Caribbean,-99,25,77.4,-99,-99,-99.0,-99,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,3.2,74.7,2.4,-99,-99.0,-99,-99,-99,-99,-99,,-99,,-99,,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,16251,3.1,4265.0,7.3,26.5,66.2,18,30.4,51.7,25.4,96,97,5327,9130,-1,39.8,0.1,14.1/23.4,9.6,1.9,-99,98.9/92.0,2.2,78.8,73.7,-99,,-99,,-99,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
