,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14 / 60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
134,Mongolia,EasternAsia,1564116,3076,2.0,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1.9,72.0,2.8,29.7/6.6,4.7,2.9,4.6,66.4/42.6,2.21,72.7,64.5,100.0,101.8,92.4,90.5,79.7,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,Montenegro,SouthernEurope,13812,629,46.8,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,0.1,64.0,0.3,18.1/21.3,6.4,2.3,-99,98.0/92.2,2.44,78.8,74.0,93.3,95.2,90.3,90.4,...,...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Montserrat,Caribbean,103,5,51.8,59,0.4,11553.4,1.4,12.7,85.9,-99,-99,-99,5.6,103,103,4,36,0.7,9.0,0.7,19.7/19.6,-99.0,-99,...,.../...,-99,-99,,...,...,...,...,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Morocco,NorthernAfrica,446550,35740,80.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,1.4,60.2,2.3,27.4/10.7,5.9,0.6,...,84.1/65.5,1.51,76.0,73.7,111.6,117.7,63.5,74.4,27.5,28.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Mozambique,EasternAfrica,799380,29669,37.7,14806,6.6,529.2,24.6,21.0,54.4,75,4.1,21,24.1,137,137,3352,5295,2.9,32.2,3.3,44.8/4.8,7.0,0.1,6.5,42.4/10.1,12.54,58.1,54.0,101.2,110.4,31.1,33.8,5.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,Myanmar,South-easternAsia,676577,53371,81.7,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,0.9,34.1,2.5,26.8/9.4,2.3,0.6,-99,84.3/77.1,2.23,68.3,63.7,98.3,101.0,52.0,50.6,14.9,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140,Namibia,SouthernAfrica,824116,2534,3.1,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816,6721,2.2,46.7,4.2,36.7/5.5,-99.0,...,...,54.5/16.8,1.24,64.3,59.1,109.5,113.3,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,Nauru,Micronesia,21,11,568.0,189,18.7,18469.2,3,59.9,37.1,-99,-99,-99,23,112,112,-99,-99,2.3,100.0,0.2,39.5/4.0,3.3,...,-99,65.6/...,-99,64.8,57.8,100.4,109.5,83.4,81.9,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,Nepal,SouthernAsia,147181,29305,204.4,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,139,139,703,5249,1.2,18.6,3.2,30.9/8.8,5.8,...,3.7,56.0/43.5,5.73,70.4,67.4,141.2,130.7,72.2,67.1,15.1,14.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Netherlands,WesternEurope,41542,17036,505.2,750318,2,44332.1,1.8,20.0,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,0.3,90.5,1,16.4/25.0,10.9,3.4,5.5,97.5/99.9,-99,83.1,79.4,104.4,105.0,136.3,134.7,82.5,74.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,New Caledonia,Melanesia,18575,276,15.1,8937,3.2,33965.7,1.4,26.0,72.6,3,26.9,70.1,15.1,102,103,1344,2422,1.4,70.2,2.2,22.5/14.2,-99.0,-99,-99,100.0/100.0,-99,79.3,73.7,-99,,-99,,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,New Zealand,Oceania,268107,4706,17.9,173417,3.1,38294.3,6.5,23.0,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,1.1,86.3,1,19.8/20.8,11.0,2.9,6.4,-99,-99,83.1,79.5,99.1,99.6,119.9,113.4,96.7,71.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Nicaragua,CentralAmerica,130373,6218,51.7,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,1.2,58.8,2,29.0/8.4,9.0,0.9,...,76.5/55.7,3.68,77.5,71.4,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,Niger,WesternAfrica,1267000,21477,17.0,7143,3.6,359.0,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,3.8,18.7,5.1,50.2/4.2,6.0,...,6.7,37.9/4.6,12.26,59.5,57.6,66.8,77.9,17.2,24.2,0.9,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,Nigeria,WesternAfrica,923768,190886,209.6,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,2.7,47.8,4.7,44.0/4.5,3.7,...,-99,32.8/25.4,0.52,52.6,51.2,92.8,94.5,53.5,57.8,8.3,11.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
149,Niue,Polynesia,260,2,6.2,-99,-99,-99.0,-99,-99.0,-99.0,...,...,...,...,101,101,-99,-99,-0.1,42.5,-0.9,22.8/20.1,7.4,...,-99,100.0/100.0,-99,76.3,70.1,120.2,147.2,114.1,104.1,-99,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Northern Mariana Islands,Micronesia,457,55,119.9,-99,-99,-99.0,-99,-99.0,-99.0,...,...,...,...,-99,-99,1735,4553,0.1,89.2,0.4,23.5/10.0,-99.0,-99,-99,79.7/79.7,-99,77.9,74.9,-99,,-99,,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,Norway,NorthernEurope,386194,5305,14.5,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120,72473,1.2,80.5,1.3,17.8/22.3,9.7,4.4,7.4,98.0/98.3,-99,83.6,79.5,100.3,100.5,111.1,114.7,91.5,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,Oman,WesternAsia,309500,4636,15.0,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,17.8,134,134,24455,23260,6.5,77.6,8.5,21.8/4.0,3.6,1.5,5,97.3/94.7,...,78.7,74.5,111.2,107.4,107.9,101.0,-99,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Pakistan,SouthernAsia,796095,197016,255.6,266458,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,2.1,38.8,2.8,34.8/6.7,2.6,0.8,2.6,83.1/51.1,1.32,66.8,65.0,85.2,99.7,39.2,49.5,9.2,10.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Palau,Micronesia,459,22,47.2,258,5.7,12122.5,3.8,8.0,88.2,...,...,...,...,-99,-99,7,154,0.8,87.1,1.7,20.3/13.1,9.0,...,...,100.0/100.0,5.05,77.8,68.1,99.0,100.3,95.2,96.2,76.1,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,Panama,CentralAmerica,75320,4099,55.1,52132,5.8,13268.1,2.8,27.1,70.0,14.5,19.6,65.9,6.2,117,118,636,11697,1.7,66.6,2.1,27.4/11.4,8.0,1.6,3.2,83.5/58.0,0.02,80.5,74.3,100.9,103.5,78.3,72.9,46.5,31.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,Papua New Guinea,Melanesia,462840,8251,18.2,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,84,83,8760,8874,2.2,13.0,2.1,35.9/6.1,4.3,...,-99,56.4/13.3,3.51,67.4,62.6,109.3,119.8,34.6,45.8,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,Paraguay,SouthAmerica,406752,6811,17.1,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,1.3,59.7,2.1,29.4/9.4,9.8,1.3,5,95.5/78.4,0.22,74.9,70.7,104.3,107.6,79.1,74.2,...,...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Peru,SouthAmerica,1285216,32166,25.1,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,1.3,78.6,1.7,27.4/10.4,5.5,1.1,4,82.5/53.2,0.18,76.8,71.5,101.7,101.7,95.8,95.7,...,...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Philippines,South-easternAsia,300000,104918,351.9,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313,85909,1.6,44.4,1.3,31.7/7.6,4.7,...,...,77.9/70.8,0.15,72.1,65.4,116.9,116.8,92.7,84.4,40.3,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,Poland,EasternEurope,312679,38171,124.6,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113,113,196455,188518,-~0.0,60.5,-0.1,14.8/24.0,6.4,2.3,4.9,97.5/96.7,-99,81.0,72.9,100.7,100.5,106.1,110.0,82.6,54.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,Portugal,SouthernEurope,92226,10330,112.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,104,104,55658,67580,-0.4,63.5,1,13.6/27.9,9.5,4.4,5.1,99.6/99.8,-99,83.5,77.3,105.3,109.4,117.3,121.0,65.7,58.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Puerto Rico,Caribbean,8868,3663,413.0,102906,-~0.0,27939.0,0.8,50.0,49.1,2,17.5,80.5,12.8,110,111,-99,-99,-0.2,93.6,-0.2,17.9/20.4,-99.0,-99,6.4,99.3/99.3,-99,83.2,75.2,90.4,89.1,83.9,78.8,98.8,70.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Qatar,WesternAsia,11607,2639,227.3,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154,154,57254,32058,6.6,99.2,6,13.9/2.8,2.2,2,3.6,98.0/98.0,-99,79.4,76.8,103.6,102.4,103.6,82.0,43.9,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Republic of Korea,EasternAsia,100284,50982,524.3,1377873,2.6,27396.7,2.3,38.0,59.7,5,24.7,70.3,3.6,104,104,495418,406182,0.4,82.5,0.7,13.5/20.1,7.4,2.2,5.1,100.0/100.0,-99,84.4,77.9,98.7,99.3,98.4,99.3,80.2,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,Republic of Moldova,EasternEurope,33846,4051,123.3,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,109,109,2045,4020,-0.1,45.0,-0.7,15.7/17.6,10.3,2.5,7.5,87.8/67.1,4.49,75.2,66.7,91.9,92.9,86.5,85.8,47.4,35.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
166,Romania,EasternEurope,238391,19679,85.5,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100,100,63581,74605,-0.6,54.6,~0.0,15.3/24.9,5.6,2.7,3.1,92.2/63.3,-99,78.4,71.4,89.0,90.5,92.0,92.5,59.0,47.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,Russian Federation,EasternEurope,17098246,143990,8.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120,120,285491,182257,0.1,74.0,-0.1,17.6/21.1,7.1,3.3,3.9,77.0/58.7,-99,75.9,64.7,100.9,100.1,103.4,105.5,88.3,72.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,Rwanda,EasternAfrica,26338,12208,494.9,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.4,139,139,622,1778,2.5,28.8,6.4,40.1/4.9,7.5,...,3.6,58.5/62.9,13.67,67.1,63.1,133.4,131.7,38.2,35.2,6.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,Saint Helena,WesternAfrica,308,4,10.4,-99,-99,-99.0,-99,-99.0,-99.0,...,...,...,...,-99,-99,~0,48,-0.7,39.4,-0.6,-99,-99.0,-99,-99,-99,-99,-99,,-99,,-99,,-99,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170,Saint Kitts and Nevis,Caribbean,261,55,212.9,876,3.8,15771.9,1.2,28.1,70.7,...,...,...,...,39,39,51,332,1.1,32.0,1.3,.../...,5.1,...,2.8,.../...,3.93,-99,,83.4,81.7,92.8,88.0,107.2,52.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Saint Lucia,Caribbean,539,179,293.2,1450,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,19,69,69,120,654,0.5,18.5,0.9,18.9/13.7,6.7,...,4.9,84.7/91.9,0.97,77.6,72.2,...,...,84.8,85.5,22.0,11.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,-99,-99,-99.0,-99,-99.0,-99.0,-99,-99,-99,-99,112,112,653,2629,~0.0,90.4,0.1,.../...,-99.0,-99,-99,-99,-99,-99,,-99,,-99,,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
173,Saint Vincent and the Grenadines,Caribbean,389,110,281.8,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,115,115,47,335,~0.0,50.6,0.7,23.8/11.7,8.6,...,...,.../...,1.8,74.9,70.7,103.2,105.8,105.0,107.9,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Samoa,Polynesia,2842,196,69.4,774,2.8,4006.0,9.3,24.2,66.6,5.3,14.8,79.8,6.5,107,107,56,350,0.8,19.1,-0.2,36.6/8.5,7.2,...,...,93.3/91.1,12.75,77.4,71.1,106.7,106.7,89.5,80.7,...,...,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,San Marino,SouthernEurope,61,33,556.7,1565,1,49240.2,0.1,33.3,66.6,...,...,...,6.6,-99,-99,-99,-99,1.2,94.2,0.6,15.0/24.1,6.1,6.4,2.4,-99,-99,86.4,81.7,92.6,93.9,95.9,93.5,69.9,50.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Sao Tome and Principe,MiddleAfrica,964,204,212.8,334,4,1752.8,12.3,14.7,73.0,22.2,13.5,64.3,13.6,119,119,10,139,2.2,65.1,3.6,42.8/4.3,8.1,...,3.8,40.8/23.3,12.39,68.2,64.0,112.2,117.7,91.7,80.8,13.6,13.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Saudi Arabia,WesternAsia,2206714,32938,15.3,653219,3.4,20710.6,2.3,46.0,51.8,5.9,22.7,71.4,5.5,96,96,182329,135904,2.8,83.1,2.1,25.2/5.6,4.7,2.6,...,100.0/100.0,...,75.6,72.7,111.1,107.9,93.7,122.6,61.8,64.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Senegal,WesternAfrica,196712,15851,82.3,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126,127,2640,5478,3,43.7,3.6,42.9/4.7,4.7,...,7.4,65.4/33.8,6.49,67.5,63.8,86.9,77.6,49.1,50.2,7.8,12.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,Serbia,SouthernEurope,88499,8791,100.5,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,102,102,14852,19231,-0.4,55.6,-0.3,16.5/24.5,10.4,2.5,4.2,98.2/94.2,0.9,77.5,71.8,101.2,101.5,97.4,96.0,66.9,50.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Seychelles,EasternAfrica,457,95,206.0,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,4.1,105,109,335,833,0.5,53.9,1.1,22.2/13.3,3.4,1,3.6,98.4/98.4,0.5,77.9,68.7,103.6,101.1,84.5,78.8,19.6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
181,Sierra Leone,WesternAfrica,72300,7557,104.7,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,3.1,168,168,466,958,2.3,39.9,2.7,42.1/4.2,11.1,...,2.7,22.8/6.9,21.56,50.7,49.6,128.2,127.0,40.1,46.5,...,...,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,Singapore,South-easternAsia,719,5709,8155.5,292734,2,52239.0,~0.0,26.4,73.6,0.3,17,82.6,2,112,112,329871,283009,1.7,100.0,2,15.0/19.5,4.9,1.9,2.9,100.0/...,-99,84.5,80.1,-99,,-99,,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,Sint Maarten (Dutch part),Caribbean,34,40,1180.0,1094,0.5,28241.7,0.1,12.3,87.6,-99,-99,-99,-99,-99,-99,-99,-99,3.1,100.0,2,21.0/10.4,-99.0,-99,-99,-99,-99,77.1,69.2,-99,,-99,,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Slovakia,EasternEurope,49035,5448,113.3,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,97,97,77565,75156,0.1,53.6,-0.3,15.4/21.8,8.1,3.4,4.2,99.4/98.2,-99,79.8,72.6,99.2,100.2,92.8,92.1,64.6,41.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,Slovenia,SouthernEurope,20273,2080,103.3,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,89,89,27585,26646,0.3,49.7,0.1,15.0/26.3,9.2,2.8,5.5,99.1/99.1,-99,83.2,77.2,99.4,99.2,110.5,110.8,98.5,68.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Solomon Islands,Melanesia,28896,611,21.8,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,118,118,437,454,2.1,22.3,4.2,38.8/5.4,5.1,0.2,...,81.4/15.0,16.47,71.1,68.3,113.6,115.0,47.0,49.8,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,Somalia,EasternAfrica,637657,14742,23.5,1559,2.7,144.5,60.2,7.4,32.5,72,4.8,23.2,6.6,112,112,925,530,2.9,39.6,4.1,46.4/4.4,-99.0,~0.0,-99,52.0/6.3,22.85,56.5,53.3,...,...,...,...,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188,South Africa,SouthernAfrica,1221037,56717,46.8,314571,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26,125,126,74111,74744,1.4,64.8,1.6,29.0/8.4,8.8,0.8,6,69.6/60.5,0.47,63.0,56.1,97.3,102.2,111.5,88.0,23.3,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,South Sudan,EasternAfrica,658841,12576,20.6,13167,2,1067.0,4.6,58.0,37.4,-99,-99,-99,...,-99,-99,2389,750,3.3,18.8,5.1,41.7/5.1,2.7,-99,1.8,16.4/4.5,21.07,56.0,54.1,53.1,74.9,6.6,12.3,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,Spain,SouthernEurope,505944,46354,92.9,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,102,102,281777,302539,-0.2,79.6,0.7,14.7/25.3,9.0,3.8,4.3,99.8/100.0,-99,85.3,79.6,105.6,104.5,129.6,130.0,97.1,82.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Sri Lanka,SouthernAsia,65610,20877,332.9,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120,122,10546,19501,0.5,18.4,0.8,24.0/14.9,3.5,...,2.2,88.1/96.7,0.53,78.0,71.2,100.6,102.7,102.0,97.5,24.0,15.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,State of Palestine,WesternAsia,6020,4921,817.4,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,90,90,929,5058,2.7,75.3,2.8,39.6/4.6,-99.0,-99,1.3,93.0/90.2,17.52,74.8,71.1,94.3,94.4,87.0,79.2,54.4,34.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Sudan,NorthernAfrica,-99,40533,23.0,79546,4.9,1977.0,32.4,20.1,47.6,32.9,20.4,46.7,13.4,-99,-99,1797,7658,2.3,33.8,2.5,40.8/5.5,8.4,3.1,...,-99,1.09,65.1,62.1,66.6,74.1,41.5,43.9,16.8,15.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Suriname,SouthAmerica,163820,563,3.6,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,152,152,1437,1244,1,66.0,0.8,26.4/10.4,5.7,...,-99,88.4/61.4,0.32,74.2,67.8,121.4,124.2,90.9,71.7,...,...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Swaziland,SouthernAfrica,17363,1367,79.5,4133,1.7,3211.7,6.6,42.1,51.3,22,17,61,25.1,114,115,1881,733,1.8,21.3,1.3,37.2/4.8,9.3,...,7,63.1/56.0,2.39,58.2,51.6,108.0,117.5,65.8,66.2,5.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
196,Sweden,NorthernEurope,438574,9911,24.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,100,100,139574,140838,0.8,85.8,0.8,17.5/25.5,11.9,4.1,7.7,99.2/99.6,-99,83.7,80.0,125.6,120.6,150.0,131.5,75.7,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,Switzerland,WesternEurope,41291,8476,214.5,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106,106,304691,269157,1.2,73.9,1.1,14.9/24.1,11.7,4.1,5.1,99.9/99.8,-99,84.8,80.5,103.8,104.1,99.4,103.0,58.5,56.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,Syrian Arab Republic,WesternAsia,185180,18270,99.5,28393,-5.3,1534.5,20.7,30.0,49.3,18.5,39.2,42.3,13.8,65,68,1265,2383,-2.3,57.7,1.4,36.6/6.8,3.3,1.5,...,96.2/95.1,...,76.3,64.4,78.7,81.4,50.5,50.5,47.0,41.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Tajikistan,CentralAsia,142600,8921,63.7,7853,4.2,925.9,25,28.0,47.1,57.2,13.4,29.4,10.8,155,172,899,3030,2.2,26.8,2.6,35.3/5.8,6.9,1.7,5.2,93.8/95.5,4.55,73.5,67.7,101.2,99.8,83.1,92.5,24.0,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,Thailand,South-easternAsia,513120,69038,135.1,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,129,126,213927,195666,0.4,50.4,3,17.3/16.9,4.1,...,4.1,89.9/96.1,0.02,78.4,70.8,99.2,106.1,125.3,132.6,57.3,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,10052,3.8,4836.1,12,27.9,65.1,16.2,29.2,54.5,27.3,111,112,4785,6757,0.1,57.1,0.1,16.7/19.5,6.5,2.8,...,97.2/82.6,2.18,77.2,73.2,92.8,93.6,78.2,80.3,46.8,37.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Timor-Leste,South-easternAsia,14919,1296,87.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2,47.2,4.3,111,117,94,647,2.2,32.8,3.8,43.6/5.4,1.5,0.1,7.8,69.0/26.8,8.89,69.5,66.1,136.2,137.5,79.6,74.1,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
203,Togo,WesternAfrica,56785,7798,143.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715,1716,2.6,40.0,3.8,41.6/4.6,5.2,...,5.2,24.7/2.9,5.51,59.8,58.3,118.5,125.1,...,...,6.4,14.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
