country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50
Burkina Faso,272967,19193,70.2,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,131,134,2019,3699,3,29.9,5.9,45.2,3.9,5,0,4.1,50.4,6.7,9.11,59.3,58,86.1,89.9,32.2,35.1,3.8,7.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,288,638
Greenland,2166086,56,0.1,2078,0.3,36976.7,10,15.9,74.1,4.6,12.6,82.5,9.7,99,99,553,623,-0.1,86.4,0.7,21,13.2,5.28,1.653333333,4.253333333,100,100,2.698,73.4,68.7,96.9,105.36,70.62,74.47333333,36.84666667,31.67333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,11
Albania,28748,2930,106.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-0.1,57.4,2.2,17.4,19,5.9,1.3,3.5,95.5,90.2,2.96,79.9,75.6,111.7,115.5,92.5,98.8,68.1,48.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,259,726
Jordan,89318,9702,109.3,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,134,135,7509,19207,4.9,83.7,3.8,35.5,5.7,7.5,2.6,4.146666667,98.6,98.9,5.8,75.5,72.2,97.6,97.1,84.8,80.2,47.3,42.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,349,460
Netherlands,41542,17036,505.2,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,0.3,90.5,1,16.4,25,10.9,3.4,5.5,97.5,99.9,0.583333333,83.1,79.4,104.4,105,136.3,134.7,82.5,74.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,6412,32655
Australia,7692060,24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,1.5,89.4,1.5,19,21,9.4,3.4,5.2,100,100,2.640666667,84.4,80.2,102.1,102.3,133.6,141.3,106.3,75.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2799,6612
Bosnia and Herzegovina,51209,3507,68.8,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,96,97,5327,9130,-1,39.8,0.1,14.1,23.4,9.6,1.9,4.46,98.9,92,2.2,78.8,73.7,107.2066667,107.9933333,74.79333333,75.15333333,34.72,27.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,632,1689
Fiji,18272,906,49.6,4391,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,88,88,926,2316,0.7,53.7,1.5,28.5,9.9,4.5,1.146666667,3.9,93.4,88.4,2.46,72.9,66.9,105.1,106,93.4,84.3,26.20666667,20.20666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,18
Bulgaria,111002,7085,65.3,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117,119,26088,28875,-0.6,73.9,-0.3,14.2,27.7,8.4,4,4.1,86.8,83.7,7.28,77.8,70.8,96.7,97.7,97.4,100.5,82.9,65.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,399,1247
Iran (Islamic Republic of),1628750,81163,49.8,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,106,107,45627,35333,1.2,73.4,2.1,23.7,8.8,7.5,1.5,2.9,92.8,82.3,0.02,76.2,74,111.7,106.3,88.9,89.4,67.7,75.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,27017,82211
