country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50
Turks and Caicos Islands,948,35,37.3,863,4.1,25121.8,0.6,10.4,89,4.78,17.5,75.48666667,10.70666667,97.93333333,97.93333333,4,389,2,92.2,2.5,19.2,7.6,6.613333333,1.766666667,3.3,90.84,90.56,7.865333333,77.8,75.8,102.7666667,106.6133333,99.37333333,97.42,52.12,34.37333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12
Dominica,750,74,98.6,512,-1.8,7051.1,15.4,13.2,71.5,15.05333333,16.47333333,66.24666667,11,110,111,23,214,0.5,69.5,0.8,23.47333333,17.39333333,5.5,1.32,4.993333333,89.85333333,83.69333333,2.36,79.34666667,73.95333333,114.8,117.2,99.8,101.2,43.1,29.07333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,16
Montenegro,13812,629,46.8,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,0.1,64,0.3,18.1,21.3,6.4,2.3,4.793333333,98,92.2,2.44,78.8,74,93.3,95.2,90.3,90.4,29.76,23.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,257,324
Iraq,435052,38275,88.1,164234,-2.4,4509,4.6,58,37.4,20.4,21,58.6,16.1,123,123,27341,45831,3.2,69.5,3,40.4,5,5.5,0.9,4.8,86.4,83.8,0.88,71.4,67,101.5066667,104.8466667,78.64666667,80.74666667,36.54666667,31.93333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,346,1539
Tunisia,163610,11532,74.2,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,14.6,108,108,13483,19456,1.2,66.8,1.4,24,12.3,7,1.6,6.3,97.4,79.8,1.14,77.1,73,112.5,115.8,94.2,90,43.3,26.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,455,967
Aruba,180,105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,10.52666667,101.7333333,101.7333333,95,1117,0.5,41.5,-0.3,17.9,19.7,6.613333333,1.766666667,6.2,97.7,97.7,6.417333333,77.8,72.9,115.4,119.1,112.1,110.3,21.4,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,95,101
Mexico,1964375,129163,66.4,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,1.4,79.2,1.6,26.7,10.1,6.3,2.1,5.3,88,74.5,0.03,78.9,74,103.2,103.6,93.5,87.7,30,29.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,1890,17799
British Virgin Islands,151,31,208,908,-1.1,30144.5,1,11.1,87.8,3.993333333,18.12,75.65333333,10.41333333,103,103,0,444,2,46.2,1.8,22.67333333,18.5,6.613333333,1.766666667,6.6,97.5,97.5,7.865333333,79.29333333,73.68666667,102.06,105.82,98.76666667,96.46,54.03333333,34.76666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8
South Sudan,658841,12576,20.6,13167,2,1067,4.6,58,37.4,47.42,13.61333333,38.97333333,10.83333333,123.6666667,124.4,2389,750,3.3,18.8,5.1,41.7,5.1,2.7,1,1.8,16.4,4.5,21.07,56,54.1,53.1,74.9,6.6,12.3,21.52666667,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,34,563
Lao People's Democratic Republic,236800,6858,29.7,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,193,186,2066,4513,1.3,38.6,4.9,32.9,6.3,1.9,0.2,3.3,94.5,56,4.03,66.8,63.9,109.1,113.5,59.3,64.1,16.5,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,19,19
Cambodia,181035,16005,90.7,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,175,177,13204,15313,1.6,20.7,2.6,31.3,7.1,5.7,0.2,1.9,88.1,30.5,3.97,69.6,65.5,116.2,117.1,74.28,74.26,11.8,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,114,122
Estonia,45227,1310,30.9,22460,1.4,17112,3.4,27.4,69.2,3.8,29,67.3,7.2,136,136,13952,15759,-0.3,67.5,-0.4,16.4,25.9,6.4,3.3,5.5,97.5,96.6,5.052,81.2,71.8,98.5,98.3,114.7,115.6,84.8,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,679,1592
Iceland,103000,335,3.3,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,3.6,117,117,4450,5703,0.6,94.1,1.3,20.1,20.1,8.9,3.8,7.8,98.7,100,9.204,83.8,80.6,98.6,99.7,121,116.3,103.1,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,737,1771
New Caledonia,18575,276,15.1,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,15.1,102,103,1344,2422,1.4,70.2,2.2,22.5,14.2,5.773333333,1.946666667,4.993333333,100,100,1.996666667,79.3,73.7,102.28,106,98.44,95.5,41.52666667,26.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,18,18
Swaziland,17363,1367,79.5,4133,1.7,3211.7,6.6,42.1,51.3,22,17,61,25.1,114,115,1881,733,1.8,21.3,1.3,37.2,4.8,9.3,1.146666667,7,63.1,56,2.39,58.2,51.6,108,117.5,65.8,66.2,5.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,108
Paraguay,406752,6811,17.1,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,1.3,59.7,2.1,29.4,9.4,9.8,1.3,5,95.5,78.4,0.22,74.9,70.7,104.3,107.6,79.1,74.2,12.63333333,14.81333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,266
Bolivia (Plurinational State of),1098581,11052,10.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,1.6,68.5,2.3,31.6,9.5,6.3,0.5,7.3,60.8,27.5,2.38,70.2,65.3,95.7,98.5,85.7,87.1,18.24666667,18.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,157,1110
Bermuda,53,61,1227,5853,0.4,94399.9,0.7,5.3,94,1.6,10.3,87.6,6.7,115,115,8,971,-0.6,100,0.2,14.8,24.9,6.613333333,2.386666667,1.7,93.96,91.76666667,4.498666667,85.1,77.5,89.4,91.3,75.5,67.7,34.1,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,57,118
Cameroon,475650,24054,50.9,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,2.7,54.4,3.6,42.7,4.8,4.1,1.106666667,3,61.8,26.8,2.31,57.7,55.1,110.7,123.5,53.5,62.6,15.2,19.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,685,2077
Central African Republic,622984,4659,7.5,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114,113,213,147,0.4,40,2.6,43.2,5.5,4.2,1,1.2,43.6,7.2,32.25,51,47.8,79.8,107.3,11.8,23,1.5,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,72
China,9600000,1409517,150.1,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,132,133,2118981,1588696,0.5,55.6,3,17.7,16.2,5.5,1.5,4.7,86.6,63.7,0,77.2,74.2,104.3,104,95.6,93.2,47.3,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80667,81733,83817
Liechtenstein,160,38,237,6361,1.4,169491.8,0.7,40.1,59.2,2.506666667,17.38666667,76.26,2.6,102,102,1918.266667,3685.666667,0.8,14.3,0.5,14.9,22.7,6.2,2.886666667,2.6,93.62,89.9,4.661333333,81.94666667,76.15333333,104.8,106.5,101.7,130.7,21.9,44.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,77,83
Papua New Guinea,462840,8251,18.2,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,84,83,8760,8874,2.2,13,2.1,35.9,6.1,4.3,1.086666667,3.94,56.4,13.3,3.51,67.4,62.6,109.3,119.8,34.6,45.8,15.44,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8
Greece,131957,11160,86.6,194860,-0.2,17788,4.1,15.7,80.2,12.9,15,72.1,23,86,87,27811,47595,-0.4,78,0.5,14.2,26.5,8.1,6.3,4.1,99.2,98.1,1.038666667,83.3,78,97.1,98.1,103.4,109.5,113.7,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1061,2408
Hungary,93024,9722,107.4,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,99,99,103071,92044,-0.3,71.2,0.5,14.3,26,7.4,3.3,4.7,97.8,98.6,1.291333333,78.8,71.7,101.3,101.9,105.3,105.1,56.7,45.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,492,2443
Monaco,2,39,25969.8,6258,5.4,165870.6,1.04,13.4,86.6,2.52,18.24666667,75.26,9.16,101.7333333,102.3333333,1796.933333,3335.733333,0.6,100,0.8,22.64,18.67333333,4.3,6.6,1,100,90.14,3.598,82.2,76.52666667,103.2866667,105.8133333,102.0733333,101.9666667,58.23333333,38.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,54,66
Mali,1240192,18542,15.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154,157,3030,2510,2.9,39.9,5.1,47.7,4,7,0.986666667,3.7,37.5,16.1,9.45,56.9,55.6,72.1,79.3,36.8,45.6,4.1,9.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,216,758
Panama,75320,4099,55.1,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,117,118,636,11697,1.7,66.6,2.1,27.4,11.4,8,1.6,3.2,83.5,58,0.02,80.5,74.3,100.9,103.5,78.3,72.9,46.5,31.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,1475,6021
Cabo Verde,4033,546,135.6,1603,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,98,98,29,485,1.2,65.5,2,30.2,6.9,4.8,0.3,5,81.6,54.3,9.81,74,70.1,106.9,112.8,98.3,87.7,25.2,18.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10,230
Kenya,591958,49700,87.3,63399,5.6,1376.7,32,19,49,61.9,8.6,29.5,10.8,126,126,5688,14109,2.7,25.6,4.3,40.5,4.3,5.7,0.2,5.3,31.2,29.7,3.93,67.8,63,108.7,109.3,52.26666667,59.04666667,15.76666667,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,158,411
Congo,342000,5261,15.4,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,2.6,65.4,3.2,42.3,5.2,5.2,1.506666667,4.606666667,20,5.6,1.05,64.1,61,114.8,107,50.6,58.4,8.3,11.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,229
Equatorial Guinea,28052,1268,45.2,13812,-7.4,16344.1,1.2,73.1,25.7,18.8,18,63.2,7.7,117,118,7443,5456,4.2,39.9,3.1,37.2,4.4,3.8,1.72,5.206666667,79.9,71,0.15,58.4,55.5,78.2,80,75.49333333,74.38666667,33.12666667,25.58666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,315
Kuwait,17818,4136,232.1,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199,199,46238,30825,5.4,98.3,3.6,21.1,4.9,3,1.9,4.346666667,100,100,1.411333333,75.5,73.5,103,102.4,102.7,88.2,33.1,20.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,195,1915
Western Sahara,266000,553,2.1,83410.33333,3.28,7184.573333,14.98,32.27333333,52.74666667,37.4,27.9,34.7,6.8,100,100,25458.26667,27233.26667,1.8,80.9,3.3,28.1,5.4,5.886666667,2.193333333,4.253333333,74.32,62.62,3.994666667,70.3,66.9,100.3333333,102.5266667,78.12666667,79.5,43.46,34.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,23
Venezuela (Bolivarian Republic of),912050,31977,36.3,344331,-6.2,11068.9,5.3,44.7,50,11.9,26.8,61.3,6.6,118,119,19731,16324,1.4,89,1.5,27.6,9.9,5.3,0.886666667,4.48,97.5,69.9,0.01,78.2,69.9,98.6,101.3,93,86.5,25.28,23.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,166,345
Guinea-Bissau,36125,1861,66.2,978,4.8,530,45,14.5,40.5,60.1,5.8,34.1,6.5,137,138,885,212,2.6,49.3,4.1,41.5,4.9,5.6,1.6,2.2,33.5,8.5,9.03,57.7,54.3,107.0933333,109.6266667,71.69333333,70.48666667,23.44,19.72666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,50,913
Haiti,27750,10981,398.4,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163,166,984,3316,1.4,58.6,3.8,33,7.3,7.6,1.206666667,4.986666667,33.6,19.2,11.73,64.4,60.2,105.4133333,107.6333333,71.69333333,70.48666667,26.64,21.03333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,129
Niger,1267000,21477,17,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,3.8,18.7,5.1,50.2,4.2,6,0.986666667,6.7,37.9,4.6,12.26,59.5,57.6,66.8,77.9,17.2,24.2,0.9,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,548,795
New Zealand,268107,4706,17.9,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,1.1,86.3,1,19.8,20.8,11,2.9,6.4,77.66666667,63.91333333,3.948666667,83.1,79.5,99.1,99.6,119.9,113.4,96.7,71.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,416,1112
Brazil,8515767,209288,25,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,135,136,185235,137552,0.9,85.7,1.2,21.7,12.6,8.3,1.9,6,88,51.5,0.06,78.4,71,113.8,116.8,102.2,97.2,59.3,42.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2433,38654
French Polynesia,4000,283,77.3,5135,1.6,18161,2.8,11.9,85.2,8.9,16.9,74.2,17,98,98,173,1491,0.7,55.9,0.9,23.3,11.9,6.793333333,1.38,5.006666667,98.5,98.5,5.754,78.6,74,102.48,106.22,99.48,97.26666667,51.05333333,32.60666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,60
Pakistan,796095,197016,255.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,2.1,38.8,2.8,34.8,6.7,2.6,0.8,2.6,83.1,51.1,1.32,66.8,65,85.2,99.7,39.2,49.5,9.2,10.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2291,14079
Nigeria,923768,190886,209.6,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,2.7,47.8,4.7,44,4.5,3.7,1.433333333,4.833333333,32.8,25.4,0.52,52.6,51.2,92.8,94.5,53.5,57.8,8.3,11.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,254,2388
Isle of Man,572,84,147.9,1026.733333,3.14,14346.52667,9.54,13.62,76.84,8.626666667,16.79333333,72.3,2.6,94.4,94.73333333,167.5333333,696.0666667,0.8,52.2,0.8,16,26.9,7.666666667,2.02,4.8,91,84.55333333,12.714,76.37333333,70.97333333,102.6733333,106.0466667,96.52,94.97333333,50.08666667,34.67333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,242,329
Germany,357376,82114,235.6,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,111,111,1340752,1060672,0.2,75.3,0.2,13.1,28,11.3,4.1,5,99.3,99,0.471333333,82.9,77.9,104.7,105.2,99.6,105.6,66.8,69.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,400,36508,141672
Republic of Moldova,33846,4051,123.3,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,109,109,2045,4020,-0.1,45,-0.7,15.7,17.6,10.3,2.5,7.5,87.8,67.1,4.49,75.2,66.7,91.9,92.9,86.5,85.8,47.4,35.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,591,3638
South Africa,1221037,56717,46.8,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,125,126,74111,74744,1.4,64.8,1.6,29,8.4,8.8,0.8,6,69.6,60.5,0.47,63,56.1,97.3,102.2,111.5,88,23.3,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1353,4361
Malawi,118484,18622,197.5,6420,3,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149,150,875,1649,2.9,16.3,3.8,44,4.3,11.4,2.313333333,5.6,47.3,39.8,16.53,63.1,58.2,147,144,41,45.8,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,34,72
Rwanda,26338,12208,494.9,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.4,139,139,622,1778,2.5,28.8,6.4,40.1,4.9,7.5,1.26,3.6,58.5,62.9,13.67,67.1,63.1,133.4,131.7,38.2,35.2,6.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,105,255
Benin,114763,11176,99.1,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,152,158,410,2630,2.8,44,3.7,42.7,5,4.6,0.1,4.4,35.6,7.3,5.09,61.4,58.5,123.7,134.2,46.8,66.7,8.4,22.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,30,96
Syrian Arab Republic,185180,18270,99.5,28393,-5.3,1534.5,20.7,30,49.3,18.5,39.2,42.3,13.8,65,68,1265,2383,-2.3,57.7,1.4,36.6,6.8,3.3,1.5,4.493333333,96.2,95.1,3.702,76.3,64.4,78.7,81.4,50.5,50.5,47,41.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,47
Poland,312679,38171,124.6,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113,113,196455,188518,0,60.5,-0.1,14.8,24,6.4,2.3,4.9,97.5,96.7,1.044666667,81,72.9,100.7,100.5,106.1,110,82.6,54.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,2055,10892
Cayman Islands,264,62,256.5,3726,0.7,62132,0.3,7.5,92.2,0.8,15.5,83.6,6.3,104,104,18,991,1.5,100,1.5,18.3,6.7,6.446666667,1.84,4.386666667,95.6,91.12,4.027333333,81.40666667,75.84,102.4066667,105.98,98.82666667,96.33333333,47.27333333,29.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,78
Canada,9984670,36624,4,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109,109,388911,402954,1,81.8,1.2,16,23.5,10.4,2.5,5.3,100,99,2.022666667,83.8,79.7,101.1,100.1,110,109.8,51.12666667,42.19333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,3385,34777
Angola,1246700,29784,23.9,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,175,176,21011,8790,3.5,44.1,5,46.8,4,3.3,0.986666667,4.493333333,88.6,22.5,0.42,63,57.4,100.4,156.9,22.7,35.1,8.2,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,43
Romania,238391,19679,85.5,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100,100,63581,74605,-0.6,54.6,0,15.3,24.9,5.6,2.7,3.1,92.2,63.3,3.216,78.4,71.4,89,90.5,92,92.5,59,47.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,1760,10096
Denmark,42921,5734,135.1,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,105,105,94355,85133,0.5,87.7,0.6,16.5,25.3,10.8,3.6,8.6,99.6,99.6,0.994666667,82.2,78.1,100.7,102.3,133.4,128.3,96.3,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1724,7384
Zimbabwe,390757,16530,42.7,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,99,98,2832,5212,2.3,32.4,2.3,41.2,4.2,6,0.1,8.4,49.3,30.8,6,59,56.1,99.1,100.8,47.1,48.1,8,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,17,35
Puerto Rico,8868,3663,413,102906,0,27939,0.8,50,49.1,2,17.5,80.5,12.8,110,111,11646.6,14115.33333,-0.2,93.6,-0.2,17.9,20.4,6.366666667,2.46,6.4,99.3,99.3,2.126666667,83.2,75.2,90.4,89.1,83.9,78.8,98.8,70.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,1252,2542
Qatar,11607,2639,227.3,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154,154,57254,32058,6.6,99.2,6,13.9,2.8,2.2,2,3.6,98,98,1.411333333,79.4,76.8,103.6,102.4,103.6,82,43.9,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,693,8525
Finland,338440,5523,18.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22,73.8,8.9,101,101,57326,60502,0.4,84.2,0.5,16.4,27.8,9.7,3,7.2,99.4,88,2.271333333,83.7,77.7,101.4,101.7,156.3,142.8,95.6,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,1218,4284
Malta,315,431,1346.4,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,96,96,4039,7182,0.5,95.4,0.5,14.4,26.1,9.7,3.9,7.8,100,100,5.185333333,82,78.6,104.7,102.2,98.1,91.7,55.2,40.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,156,446
Cyprus,9251,1180,127.7,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80,80,1920,6604,0.9,66.9,0.9,16.8,18.5,7.4,2.5,6.1,100,100,2.991333333,82.2,77.7,99.3,99.3,99.4,100.1,69.4,51.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,465,857
United States Virgin Islands,347,105,299.7,1600.933333,2.773333333,28593.88667,5.44,14.91333333,79.63333333,10.9,24,65.2,9,109,109,169.7333333,716.0666667,-0.2,95.3,0.3,20.1,25.3,8.22,2.02,4.8,96.4,96.4,12.714,81.5,76.7,101.3933333,104.54,97.72666667,95.26,50.08666667,34.67333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,51,69
Andorra,468,77,163.8,2812,0.8,39896.4,0.5,10.8,88.6,3.533333333,17.63333333,76.59333333,11.26666667,105.5333333,106.2,100,1355,-1.6,85.1,0.1,14.4,19,8.1,3.7,3.3,100,100,7.870666667,80.77333333,75.23333333,101.82,105.32,99.74,97.43333333,54.03333333,34.76666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,564,748
Ireland,69797,4762,69.1,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,102,102,129315,76997,0.3,63.2,1.6,21.6,19.1,7.8,2.8,5.3,89.1,92.9,0.970666667,83,78.7,102,100.9,129.4,125.6,87.6,80.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,2121,16040
Latvia,64573,1950,31.3,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23,69.7,9.6,130,130,11433,13596,-1.2,67.4,-0.7,15.4,26.2,5.9,3.2,5.3,90.8,81.5,3.857333333,78.7,68.8,99.2,100.1,119.1,119.9,79.2,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,398,804
Madagascar,587295,25571,44,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119,120,2256,2965,2.7,35.1,4.7,41,4.8,3,0.1,2.1,18,8.7,7.05,66,63,148.9,148.9,38.1,38.8,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,106,169
