country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)"
Haiti,Caribbean,27750,10981,398.4,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163,166,984,3316,1.4,58.6,3.8,64.4/60.2,33.0/7.3,7.6,-99,-99,-99,-99,-99,33.6/19.2,11.73
Holy See,SouthernEurope,~0,1,1800,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,~0.0,100,~0.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Honduras,CentralAmerica,112492,9265,82.8,20365,3.6,2521.9,13,25.1,61.9,29.4,21.6,49,5.6,122,119,3657,8448,1.8,54.7,3.1,75.4/70.4,31.6/7.0,8.7,...,5.9,110.1/111.3,77.0/64.8,25.4/18.8,86.7/77.7,2.86
Hungary,EasternEurope,93024,9722,107.4,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,99,99,103071,92044,-0.3,71.2,0.5,78.8/71.7,14.3/26.0,7.4,3.3,4.7,101.3/101.9,105.3/105.1,56.7/45.3,97.8/98.6,-99
Iceland,NorthernEurope,103000,335,3.3,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,3.6,117,117,4450,5703,0.6,94.1,1.3,83.8/80.6,20.1/20.1,8.9,3.8,7.8,98.6/99.7,121.0/116.3,103.1/60.2,98.7/100.0,-99
India,SouthernAsia,3287263,1339180,450.4,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,143,142,260327,356705,1.2,32.7,2.4,69.1/66.2,27.8/9.4,4.7,0.7,3.8,115.1/102.8,74.5/73.5,26.7/27.0,62.6/28.5,0.16
Indonesia,South-easternAsia,1910931,263991,145.7,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,139,140,144490,135653,1.2,53.7,2.7,70.7/66.6,27.4/8.6,2.8,0.2,3.6,104.4/107.2,86.0/85.7,25.7/22.9,72.3/47.5,0
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,106,107,45627,35333,1.2,73.4,2.1,76.2/74.0,23.7/8.8,7.5,1.5,2.9,111.7/106.3,88.9/89.4,67.7/75.9,92.8/82.3,0.02
Iraq,WesternAsia,435052,38275,88.1,164234,-2.4,4509,4.6,58,37.4,20.4,21,58.6,16.1,123,123,27341,45831,3.2,69.5,3,71.4/67.0,40.4/5.0,5.5,0.9,-99,.../...,.../...,.../...,86.4/83.8,0.88
Ireland,NorthernEurope,69797,4762,69.1,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,102,102,129315,76997,0.3,63.2,1.6,83.0/78.7,21.6/19.1,7.8,2.8,5.3,102.0/100.9,129.4/125.6,87.6/80.1,89.1/92.9,-99
Isle of Man,NorthernEurope,572,84,147.9,-99,-99,-99,-99,-99,-99,...,...,...,2.6,-99,-99,-99,-99,0.8,52.2,0.8,-99,16.0/26.9,-99,-99,-99,-99,-99,-99,-99,-99
Israel,WesternAsia,22072,8322,384.5,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,112,112,60571,65803,1.6,92.1,1.4,83.7/80.0,27.9/16.1,7.8,3.6,5.8,105.1/104.4,103.0/102.0,75.5/54.6,100.0/100.0,-99
Italy,SouthernEurope,302073,59360,201.8,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,89,89,461529,404578,-0.1,69,0.4,84.7/79.9,13.5/29.4,9.2,3.9,4.1,100.6/101.4,101.7/104.1,72.2/53.2,99.5/99.6,-99
Jamaica,Caribbean,10990,2890,266.9,14262,1,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,102,102,1202,4767,0.4,54.8,0.9,77.9/73.1,22.7/13.6,5.4,...,5.5,.../...,85.1/79.2,34.6/20.1,79.9/84.1,0.42
Japan,EasternAsia,377930,127484,349.7,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3,96,97,644932,606924,-0.1,93.5,0.6,86.4/80.0,12.9/33.4,10.2,2.3,3.6,101.2/101.3,101.9/101.6,60.9/65.7,100.0/100.0,-99
Jordan,WesternAsia,89318,9702,109.3,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,134,135,7509,19207,4.9,83.7,3.8,75.5/72.2,35.5/5.7,7.5,2.6,-99,97.6/97.1,84.8/80.2,47.3/42.5,98.6/98.9,5.8
Kazakhstan,CentralAsia,2724902,18204,6.7,181754,1.2,10312.1,5,32.5,62.5,18.1,20.4,61.6,5.6,126,127,36775,25175,1.6,53.2,0.9,73.9/64.3,27.9/11.1,4.4,3.3,2.8,109.1/108.8,113.5/110.6,51.3/41.4,97.0/98.1,0.05
Kenya,EasternAfrica,591958,49700,87.3,63399,5.6,1376.7,32,19,49,61.9,8.6,29.5,10.8,126,126,5688,14109,2.7,25.6,4.3,67.8/63.0,40.5/4.3,5.7,0.2,5.3,108.7/109.3,.../...,.../...,31.2/29.7,3.93
Kiribati,Micronesia,726,116,143.7,162,3.7,1442.9,24.1,13.6,62.2,...,...,...,...,61,61,3,116,1.8,44.3,1.8,68.9/62.4,35.0/6.4,10.2,0.2,...,106.1/102.9,.../...,-99,51.2/30.6,20.05
Kuwait,WesternAsia,17818,4136,232.1,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199,199,46238,30825,5.4,98.3,3.6,75.5/73.5,21.1/4.9,3,1.9,...,103.0/102.4,102.7/88.2,33.1/20.4,100.0/100.0,-99
Kyrgyzstan,CentralAsia,199949,6045,31.5,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,108,110,1423,3844,1.6,35.7,1.6,74.3/66.4,31.8/7.6,6.5,1.9,5.5,106.8/107.9,92.8/91.4,53.3/40.8,89.1/95.6,12.16
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,193,186,2066,4513,1.3,38.6,4.9,66.8/63.9,32.9/6.3,1.9,0.2,3.3,109.1/113.5,59.3/64.1,16.5/17.3,94.5/56.0,4.03
Latvia,NorthernEurope,64573,1950,31.3,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23,69.7,9.6,130,130,11433,13596,-1.2,67.4,-0.7,78.7/68.8,15.4/26.2,5.9,3.2,5.3,99.2/100.1,119.1/119.9,79.2/55.5,90.8/81.5,-99
Lebanon,WesternAsia,10452,6082,594.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,95,95,3402,20409,6,87.8,3.2,80.9/77.3,23.1/12.0,6.4,2.4,2.6,88.3/96.6,61.0/61.5,45.7/39.5,80.7/80.7,2.04
Lesotho,SouthernAfrica,30355,2233,73.6,2008,2.8,940.6,7.7,31.3,61,39.7,20,40.3,27.5,101,100,648,1727,1.3,27.3,3,54.7/50.1,35.4/6.7,10.6,...,...,104.0/107.0,62.0/45.7,11.7/8.0,37.3/27.6,4.11
Liberia,WesternAfrica,111369,4732,49.1,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43,4.1,104,121,641,727,2.6,49.7,3.4,61.6/59.8,41.8/4.9,10,...,2.8,89.1/98.5,32.5/41.9,9.0/14.2,28.0/5.9,61.73
Libya,NorthernAfrica,1676198,6375,3.6,34457,-10.2,5488.2,0.9,67.1,32,19.1,25.1,55.8,19.2,113,114,4615,8876,0.2,78.6,1.1,74.4/68.8,28.2/6.6,5,2.1,-99,.../...,.../...,.../...,96.8/95.7,0.51
Liechtenstein,WesternEurope,160,38,237,6361,1.4,169491.8,0.7,40.1,59.2,-99,-99,-99,2.6,102,102,-99,-99,0.8,14.3,0.5,-99,14.9/22.7,-99,-99,2.6,104.8/106.5,101.7/130.7,21.9/44.8,-99,-99
Lithuania,NorthernEurope,65286,2890,46.1,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,125,125,25025,27501,-1.3,66.5,-0.5,79.3/68.5,14.8/25.3,6.6,4.3,4.6,103.7/103.2,106.1/110.3,82.0/55.8,97.2/82.8,-99
Luxembourg,WesternEurope,2586,584,225.3,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,98,98,12838,19124,2.2,90.2,1.7,83.4/78.8,16.4/19.6,6.9,2.9,4.1,97.3/96.9,103.5/101.1,20.7/18.2,97.5/98.5,-99
Madagascar,EasternAfrica,587295,25571,44,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119,120,2256,2965,2.7,35.1,4.7,66.0/63.0,41.0/4.8,3,0.1,2.1,148.9/148.9,38.1/38.8,4.6/5.0,18.0/8.7,7.05
Malawi,EasternAfrica,118484,18622,197.5,6420,3,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149,150,875,1649,2.9,16.3,3.8,63.1/58.2,44.0/4.3,11.4,...,5.6,147.0/144.0,41.0/45.8,0.6/1.0,47.3/39.8,16.53
Malaysia,South-easternAsia,330323,31624,96.3,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122,130,189414,168375,1.8,74.7,2.7,77.1/72.6,24.3/9.7,4.2,1.3,5,101.9/101.7,80.7/74.6,31.8/20.8,96.1/95.9,0
Maldives,SouthernAsia,300,436,1454.4,3435,2.8,9446.5,3.1,22,74.9,7.7,22.8,69.5,2.9,65,65,140,2128,2.8,45.5,4.5,77.4/75.4,23.4/6.3,13.7,...,5.2,98.6/97.3,.../...,20.3/12.4,97.5/98.3,0.95
Mali,WesternAfrica,1240192,18542,15.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154,157,3030,2510,2.9,39.9,5.1,56.9/55.6,47.7/4.0,7,...,3.7,72.1/79.3,36.8/45.6,4.1/9.6,37.5/16.1,9.45
Malta,SouthernEurope,315,431,1346.4,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,96,96,4039,7182,0.5,95.4,0.5,82.0/78.6,14.4/26.1,9.7,3.9,7.8,104.7/102.2,98.1/91.7,55.2/40.3,100.0/100.0,-99
Marshall Islands,Micronesia,181,53,295.2,183,0.6,3452.6,16.4,10.2,73.3,...,...,...,4.7,115,115,27,86,0.2,72.7,0.6,72.5/71.3,39.0/5.5,17.1,0.5,...,93.3/93.5,80.4/73.1,41.2/44.6,84.5/56.2,24.11
Martinique,Caribbean,1128,385,363.1,-99,-99,-99,-99,-99,-99,3.9,11.8,69,22.8,78,78,-99,-99,-0.5,88.9,0.2,84.4/77.8,17.7/25.7,-99,-99,-99,-99,-99,-99,94.0/72.7,-99
Mauritania,WesternAfrica,1030700,4420,4.3,5023,1.2,1235,20.9,41.7,37.4,40.3,9.5,50.2,12,125,125,1623,2174,2.9,59.9,3.5,64.1/61.2,39.9/5.0,3.8,...,2.9,105.0/100.0,29.5/31.7,3.6/7.1,57.5/13.8,5.02
Mauritius,EasternAfrica,1969,1265,623.2,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,96,96,2194,4655,0.2,39.7,-0.1,77.7/70.7,18.4/16.6,4.8,...,4.9,103.9/102.2,97.9/93.6,41.7/31.7,93.9/92.6,0.67
Mayotte,EasternAfrica,-99,253,674.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,...,...,2.8,47,1.9,82.9/76.0,40.6/5.8,-99,-99,-99,-99,-99,-99,-99,-99
Mexico,CentralAmerica,1964375,129163,66.4,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,1.4,79.2,1.6,78.9/74.0,26.7/10.1,6.3,2.1,5.3,103.2/103.6,93.5/87.7,30.0/29.9,88.0/74.5,0.03
Micronesia (Federated States of),Micronesia,702,106,150.8,315,3.7,3015.2,27.8,6.5,65.8,-99,-99,-99,-99,99,99,6,40,0.2,22.4,0.3,69.8/67.7,33.1/8.0,13.7,...,12.5,95.7/95.4,.../...,-99,85.1/49.0,34.11
Monaco,WesternEurope,2,39,25969.8,6258,5.4,165870.6,-99,13.4,86.6,-99,-99,-99,...,-99,-99,-99,-99,0.6,100,0.8,-99,.../...,4.3,6.6,1,-99,-99,-99,100.0/...,-99
Mongolia,EasternAsia,1564116,3076,2,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1.9,72,2.8,72.7/64.5,29.7/6.6,4.7,2.9,4.6,100.0/101.8,92.4/90.5,79.7/57.7,66.4/42.6,2.21
Montenegro,SouthernEurope,13812,629,46.8,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,0.1,64,0.3,78.8/74.0,18.1/21.3,6.4,2.3,-99,93.3/95.2,90.3/90.4,.../...,98.0/92.2,2.44
Montserrat,Caribbean,103,5,51.8,59,0.4,11553.4,1.4,12.7,85.9,-99,-99,-99,5.6,103,103,4,36,0.7,9,0.7,-99,19.7/19.6,-99,-99,...,.../...,.../...,-99,.../...,-99
Morocco,NorthernAfrica,446550,35740,80.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,1.4,60.2,2.3,76.0/73.7,27.4/10.7,5.9,0.6,...,111.6/117.7,63.5/74.4,27.5/28.7,84.1/65.5,1.51
Mozambique,EasternAfrica,799380,29669,37.7,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,137,137,3352,5295,2.9,32.2,3.3,58.1/54.0,44.8/4.8,7,0.1,6.5,101.2/110.4,31.1/33.8,5.4/7.4,42.4/10.1,12.54
Myanmar,South-easternAsia,676577,53371,81.7,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,0.9,34.1,2.5,68.3/63.7,26.8/9.4,2.3,0.6,-99,98.3/101.0,52.0/50.6,14.9/12.1,84.3/77.1,2.23
Namibia,SouthernAfrica,824116,2534,3.1,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816,6721,2.2,46.7,4.2,64.3/59.1,36.7/5.5,-99,...,...,109.5/113.3,.../...,.../...,54.5/16.8,1.24
Nauru,Micronesia,21,11,568,189,18.7,18469.2,3,59.9,37.1,-99,-99,-99,23,112,112,-99,-99,2.3,100,0.2,64.8/57.8,39.5/4.0,3.3,...,-99,100.4/109.5,83.4/81.9,-99,65.6/...,-99
Nepal,SouthernAsia,147181,29305,204.4,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,139,139,703,5249,1.2,18.6,3.2,70.4/67.4,30.9/8.8,5.8,...,3.7,141.2/130.7,72.2/67.1,15.1/14.8,56.0/43.5,5.73
Netherlands,WesternEurope,41542,17036,505.2,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,0.3,90.5,1,83.1/79.4,16.4/25.0,10.9,3.4,5.5,104.4/105.0,136.3/134.7,82.5/74.7,97.5/99.9,-99
New Caledonia,Melanesia,18575,276,15.1,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,15.1,102,103,1344,2422,1.4,70.2,2.2,79.3/73.7,22.5/14.2,-99,-99,-99,-99,-99,-99,100.0/100.0,-99
New Zealand,Oceania,268107,4706,17.9,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,1.1,86.3,1,83.1/79.5,19.8/20.8,11,2.9,6.4,99.1/99.6,119.9/113.4,96.7/71.6,-99,-99
Nicaragua,CentralAmerica,130373,6218,51.7,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,1.2,58.8,2,77.5/71.4,29.0/8.4,9,0.9,...,.../...,.../...,.../...,76.5/55.7,3.68
Niger,WesternAfrica,1267000,21477,17,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,3.8,18.7,5.1,59.5/57.6,50.2/4.2,6,...,6.7,66.8/77.9,17.2/24.2,0.9/2.6,37.9/4.6,12.26
Nigeria,WesternAfrica,923768,190886,209.6,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,2.7,47.8,4.7,52.6/51.2,44.0/4.5,3.7,...,-99,92.8/94.5,53.5/57.8,8.3/11.8,32.8/25.4,0.52
Niue,Polynesia,260,2,6.2,-99,-99,-99,-99,-99,-99,...,...,...,...,101,101,-99,-99,-0.1,42.5,-0.9,76.3/70.1,22.8/20.1,7.4,...,-99,120.2/147.2,114.1/104.1,-99,100.0/100.0,-99
Northern Mariana Islands,Micronesia,457,55,119.9,-99,-99,-99,-99,-99,-99,...,...,...,...,-99,-99,1735,4553,0.1,89.2,0.4,77.9/74.9,23.5/10.0,-99,-99,-99,-99,-99,-99,79.7/79.7,-99
Norway,NorthernEurope,386194,5305,14.5,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120,72473,1.2,80.5,1.3,83.6/79.5,17.8/22.3,9.7,4.4,7.4,100.3/100.5,111.1/114.7,91.5/62.8,98.0/98.3,-99
Oman,WesternAsia,309500,4636,15,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,17.8,134,134,24455,23260,6.5,77.6,8.5,78.7/74.5,21.8/4.0,3.6,1.5,5,111.2/107.4,107.9/101.0,-99,97.3/94.7,...
Pakistan,SouthernAsia,796095,197016,255.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,2.1,38.8,2.8,66.8/65.0,34.8/6.7,2.6,0.8,2.6,85.2/99.7,39.2/49.5,9.2/10.6,83.1/51.1,1.32
Palau,Micronesia,459,22,47.2,258,5.7,12122.5,3.8,8,88.2,...,...,...,...,-99,-99,7,154,0.8,87.1,1.7,77.8/68.1,20.3/13.1,9,...,...,99.0/100.3,95.2/96.2,76.1/49.1,100.0/100.0,5.05
Panama,CentralAmerica,75320,4099,55.1,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,117,118,636,11697,1.7,66.6,2.1,80.5/74.3,27.4/11.4,8,1.6,3.2,100.9/103.5,78.3/72.9,46.5/31.2,83.5/58.0,0.02
Papua New Guinea,Melanesia,462840,8251,18.2,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,84,83,8760,8874,2.2,13,2.1,67.4/62.6,35.9/6.1,4.3,...,-99,109.3/119.8,34.6/45.8,-99,56.4/13.3,3.51
Paraguay,SouthAmerica,406752,6811,17.1,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,1.3,59.7,2.1,74.9/70.7,29.4/9.4,9.8,1.3,5,104.3/107.6,79.1/74.2,.../...,95.5/78.4,0.22
Peru,SouthAmerica,1285216,32166,25.1,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,1.3,78.6,1.7,76.8/71.5,27.4/10.4,5.5,1.1,4,101.7/101.7,95.8/95.7,.../...,82.5/53.2,0.18
Philippines,South-easternAsia,300000,104918,351.9,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313,85909,1.6,44.4,1.3,72.1/65.4,31.7/7.6,4.7,...,...,116.9/116.8,92.7/84.4,40.3/31.4,77.9/70.8,0.15
Poland,EasternEurope,312679,38171,124.6,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113,113,196455,188518,-~0.0,60.5,-0.1,81.0/72.9,14.8/24.0,6.4,2.3,4.9,100.7/100.5,106.1/110.0,82.6/54.2,97.5/96.7,-99
Portugal,SouthernEurope,92226,10330,112.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,104,104,55658,67580,-0.4,63.5,1,83.5/77.3,13.6/27.9,9.5,4.4,5.1,105.3/109.4,117.3/121.0,65.7/58.0,99.6/99.8,-99
Puerto Rico,Caribbean,8868,3663,413,102906,-~0.0,27939,0.8,50,49.1,2,17.5,80.5,12.8,110,111,-99,-99,-0.2,93.6,-0.2,83.2/75.2,17.9/20.4,-99,-99,6.4,90.4/89.1,83.9/78.8,98.8/70.1,99.3/99.3,-99
Qatar,WesternAsia,11607,2639,227.3,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154,154,57254,32058,6.6,99.2,6,79.4/76.8,13.9/2.8,2.2,2,3.6,103.6/102.4,103.6/82.0,43.9/6.3,98.0/98.0,-99
Republic of Korea,EasternAsia,100284,50982,524.3,1377873,2.6,27396.7,2.3,38,59.7,5,24.7,70.3,3.6,104,104,495418,406182,0.4,82.5,0.7,84.4/77.9,13.5/20.1,7.4,2.2,5.1,98.7/99.3,98.4/99.3,80.2/104.8,100.0/100.0,-99
Republic of Moldova,EasternEurope,33846,4051,123.3,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,109,109,2045,4020,-0.1,45,-0.7,75.2/66.7,15.7/17.6,10.3,2.5,7.5,91.9/92.9,86.5/85.8,47.4/35.3,87.8/67.1,4.49
Romania,EasternEurope,238391,19679,85.5,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100,100,63581,74605,-0.6,54.6,~0.0,78.4/71.4,15.3/24.9,5.6,2.7,3.1,89.0/90.5,92.0/92.5,59.0/47.8,92.2/63.3,-99
Russian Federation,EasternEurope,17098246,143990,8.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120,120,285491,182257,0.1,74,-0.1,75.9/64.7,17.6/21.1,7.1,3.3,3.9,100.9/100.1,103.4/105.5,88.3/72.9,77.0/58.7,-99
Rwanda,EasternAfrica,26338,12208,494.9,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.4,139,139,622,1778,2.5,28.8,6.4,67.1/63.1,40.1/4.9,7.5,...,3.6,133.4/131.7,38.2/35.2,6.9/9.1,58.5/62.9,13.67
Saint Helena,WesternAfrica,308,4,10.4,-99,-99,-99,-99,-99,-99,...,...,...,...,-99,-99,~0,48,-0.7,39.4,-0.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Saint Kitts and Nevis,Caribbean,261,55,212.9,876,3.8,15771.9,1.2,28.1,70.7,...,...,...,...,39,39,51,332,1.1,32,1.3,-99,.../...,5.1,...,2.8,83.4/81.7,92.8/88.0,107.2/52.6,.../...,3.93
Saint Lucia,Caribbean,539,179,293.2,1450,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,19,69,69,120,654,0.5,18.5,0.9,77.6/72.2,18.9/13.7,6.7,...,4.9,.../...,84.8/85.5,22.0/11.6,84.7/91.9,0.97
Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,112,112,653,2629,~0.0,90.4,0.1,-99,.../...,-99,-99,-99,-99,-99,-99,-99,-99
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,115,115,47,335,~0.0,50.6,0.7,74.9/70.7,23.8/11.7,8.6,...,...,103.2/105.8,105.0/107.9,-99,.../...,1.8
Samoa,Polynesia,2842,196,69.4,774,2.8,4006,9.3,24.2,66.6,5.3,14.8,79.8,6.5,107,107,56,350,0.8,19.1,-0.2,77.4/71.1,36.6/8.5,7.2,...,...,106.7/106.7,89.5/80.7,.../...,93.3/91.1,12.75
San Marino,SouthernEurope,61,33,556.7,1565,1,49240.2,0.1,33.3,66.6,...,...,...,6.6,-99,-99,-99,-99,1.2,94.2,0.6,86.4/81.7,15.0/24.1,6.1,6.4,2.4,92.6/93.9,95.9/93.5,69.9/50.5,-99,-99
Sao Tome and Principe,MiddleAfrica,964,204,212.8,334,4,1752.8,12.3,14.7,73,22.2,13.5,64.3,13.6,119,119,10,139,2.2,65.1,3.6,68.2/64.0,42.8/4.3,8.1,...,3.8,112.2/117.7,91.7/80.8,13.6/13.2,40.8/23.3,12.39
Saudi Arabia,WesternAsia,2206714,32938,15.3,653219,3.4,20710.6,2.3,46,51.8,5.9,22.7,71.4,5.5,96,96,182329,135904,2.8,83.1,2.1,75.6/72.7,25.2/5.6,4.7,2.6,...,111.1/107.9,93.7/122.6,61.8/64.4,100.0/100.0,...
Senegal,WesternAfrica,196712,15851,82.3,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126,127,2640,5478,3,43.7,3.6,67.5/63.8,42.9/4.7,4.7,...,7.4,86.9/77.6,49.1/50.2,7.8/12.9,65.4/33.8,6.49
Serbia,SouthernEurope,88499,8791,100.5,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,102,102,14852,19231,-0.4,55.6,-0.3,77.5/71.8,16.5/24.5,10.4,2.5,4.2,101.2/101.5,97.4/96.0,66.9/50.2,98.2/94.2,0.9
Seychelles,EasternAfrica,457,95,206,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,4.1,105,109,335,833,0.5,53.9,1.1,77.9/68.7,22.2/13.3,3.4,1,3.6,103.6/101.1,84.5/78.8,19.6/9.3,98.4/98.4,0.5
Sierra Leone,WesternAfrica,72300,7557,104.7,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,3.1,168,168,466,958,2.3,39.9,2.7,50.7/49.6,42.1/4.2,11.1,...,2.7,128.2/127.0,40.1/46.5,.../...,22.8/6.9,21.56
Singapore,South-easternAsia,719,5709,8155.5,292734,2,52239,~0.0,26.4,73.6,0.3,17,82.6,2,112,112,329871,283009,1.7,100,2,84.5/80.1,15.0/19.5,4.9,1.9,2.9,-99,-99,-99,100.0/...,-99
Sint Maarten (Dutch part),Caribbean,34,40,1180,1094,0.5,28241.7,0.1,12.3,87.6,-99,-99,-99,-99,-99,-99,-99,-99,3.1,100,2,77.1/69.2,21.0/10.4,-99,-99,-99,-99,-99,-99,-99,-99
Slovakia,EasternEurope,49035,5448,113.3,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,97,97,77565,75156,0.1,53.6,-0.3,79.8/72.6,15.4/21.8,8.1,3.4,4.2,99.2/100.2,92.8/92.1,64.6/41.8,99.4/98.2,-99
Slovenia,SouthernEurope,20273,2080,103.3,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,89,89,27585,26646,0.3,49.7,0.1,83.2/77.2,15.0/26.3,9.2,2.8,5.5,99.4/99.2,110.5/110.8,98.5/68.2,99.1/99.1,-99
Solomon Islands,Melanesia,28896,611,21.8,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,118,118,437,454,2.1,22.3,4.2,71.1/68.3,38.8/5.4,5.1,0.2,...,113.6/115.0,47.0/49.8,-99,81.4/15.0,16.47
