country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)"
Australia,Oceania,7692060,24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,1.5,89.4,1.5,84.4/80.2,19.0/21.0,9.4,3.4,5.2,102.1/102.3,133.6/141.3,106.3/75.4,100.0/100.0,-99
Austria,WesternEurope,83871,8736,106,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108,108,145503,149299,0.6,66,0.4,83.5/78.4,14.1/25.1,11.2,5.2,5.5,102.2/103.7,97.6/102.4,89.2/74.3,100.0/100.0,-99
Azerbaijan,WesternAsia,86600,9828,118.9,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,1.3,54.6,1.6,74.6/68.6,23.3/10.1,6,3.4,2.6,105.6/107.4,-99,27.5/23.6,91.6/86.6,0.14
Bahamas,Caribbean,13940,395,39.5,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132,132,365,2904,1.4,82.9,1.5,78.1/72.0,20.5/13.5,7.7,...,...,.../...,.../...,-99,92.0/92.0,-99
Bahrain,WesternAsia,771,1493,1963.9,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,167,167,12892,14749,2,88.8,1.7,77.5/75.6,19.7/4.6,5,0.9,2.7,101.8/100.6,101.9/102.4,59.4/30.9,99.2/99.2,-99
Bangladesh,SouthernAsia,147570,164670,1265,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,141,140,36031,52624,1.2,34.3,3.6,72.9/69.8,28.4/7.3,2.8,0.4,1.9,125.1/116.0,67.4/59.8,11.4/15.4,57.7/62.1,1.24
Barbados,Caribbean,431,286,664.5,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88,88,517,1621,0.3,31.5,0.1,77.7/72.9,19.1/21.0,7.5,...,6.6,94.2/93.1,110.7/107.9,90.6/40.3,96.2/96.2,...
Belarus,EasternEurope,207600,9468,46.7,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,122,122,23414,27464,~0.0,76.7,~0.0,77.7/66.5,16.7/21.3,5.7,4.1,4.9,101.3/101.4,106.4/107.8,100.7/75.9,94.1/95.2,0.2
Belgium,WesternEurope,30528,11429,377.5,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108,107,398033,372713,0.6,97.9,0.5,83.0/78.0,17.1/24.6,10.6,3,6.6,104.2/104.2,177.7/156.4,85.4/65.0,99.5/99.4,-99
Belize,CentralAmerica,22966,375,16.4,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97,97,246,952,2.2,44,1.9,72.7/67.2,31.4/6.2,5.8,...,6.4,110.4/115.8,81.8/79.8,28.7/17.9,93.5/88.2,1.68
Benin,WesternAfrica,114763,11176,99.1,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,152,158,410,2630,2.8,44,3.7,61.4/58.5,42.7/5.0,4.6,0.1,4.4,123.7/134.2,46.8/66.7,8.4/22.4,35.6/7.3,5.09
